name_1,date_1,name_2,date_2,name_3,date_3,context,correct_date,correct_answer
Kyle,1918-11-09,Charlie,1903-07-01,Frank,1912-03-30,Kyle was born on the day Wilhelm II abdicated. Charlie was born on the day the first Tour de France was held. Frank was born on the day Morocco became a protectorate of France. The oldest is,1903-07-01,Charlie
Scott,1914-08-15,Hope,1909-07-16,Josh,1901-12-10,Scott was born on the day the Panama Canal opened. Hope was born on the day Mohammad Ali Shah Qajar was forced to abdicate. Josh was born on the day the first Nobel Prize awards took place. The oldest is,1901-12-10,Josh
Frank,1905-01-22,Steve,1919-06-28,Laura,1919-08-11,Frank was born on the day the Revolution of 1905 erupted. Steve was born on the day The Treaty of Versailles redrew European borders. Laura was born on the day the German Revolution ended. The oldest is,1905-01-22,Frank
Alex,1908-07-26,Grant,1917-03-08,Alice,1905-12-05,Alex was born on the day the Bureau of Investigation was founded. Grant was born on the day the Russian Revolution ended and the Russian Civil War began. Alice was born on the day Henry Campbell-Bannerman became Prime Minister. The oldest is,1905-12-05,Alice
Jack,1918-05-28,Matt,1915-07-28,Frank,1905-01-22,Jack was born on the day Azerbaijan Democratic Republic was declared. Matt was born on the day the United States occupation of Haiti began. Frank was born on the day the Revolution of 1905 erupted. The oldest is,1905-01-22,Frank
William,1918-03-30,George,1919-04-13,Kyle,1905-03-31,William was born on the day the Armenian-Azerbaijani War began. George was born on the day the Jallianwala Bagh massacre occurred. Kyle was born on the day the First Moroccan Crisis began. The oldest is,1905-03-31,Kyle
Ian,1908-10-01,Rose,1919-04-11,Rachel,1915-07-28,Ian was born on the day the Ford Motor Company invented the Model T. Rose was born on the day the International Labour Organization was established. Rachel was born on the day the United States occupation of Haiti began. The oldest is,1908-10-01,Ian
Bob,1903-12-17,Jack,1918-05-28,Andrew,1905-12-05,Bob was born on the day the Wright brothers made their first successful flight. Jack was born on the day Azerbaijan Democratic Republic was declared. Andrew was born on the day Henry Campbell-Bannerman became Prime Minister. The oldest is,1903-12-17,Bob
Alice,1916-04-30,George,1919-04-13,William,1910-10-05,Alice was born on the day the first nationwide daylight saving time implementation occurred. George was born on the day the Jallianwala Bagh massacre occurred. William was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,William
Robert,1901-12-12,George,1917-04-06,Brandon,1906-04-18,Robert was born on the day Guglielmo Marconi received the first transatlantic radio signal. George was born on the day the USA joined the Entente. Brandon was born on the day an earthquake with a magnitude of 7.9 occurred in San Francisco. The oldest is,1901-12-12,Robert
Connor,1919-04-13,Alex,1917-11-26,Mark,1909-04-13,Connor was born on the day the Jallianwala Bagh massacre occurred. Alex was born on the day the National Hockey League was formed. Mark was born on the day a countercoup failed in the Ottoman Empire. The oldest is,1909-04-13,Mark
Grant,1913-12-23,Maria,1916-12-06,Jerry,1909-07-16,Grant was born on the day the Federal Reserve System was created. Maria was born on the day David Lloyd George became Prime Minister. Jerry was born on the day Mohammad Ali Shah Qajar was forced to abdicate. The oldest is,1909-07-16,Jerry
Andrew,1912-04-15,Tyler,1903-07-01,Rose,1905-10-16,Andrew was born on the day the RMS Titanic sank. Tyler was born on the day the first Tour de France was held. Rose was born on the day Bengal was partitioned. The oldest is,1903-07-01,Tyler
Aaron,1901-12-10,William,1918-11-09,Joy,1901-03-02,Aaron was born on the day the first Nobel Prize awards took place. William was born on the day Wilhelm II abdicated. Joy was born on the day The Platt Amendment provided for Cuban independence. The oldest is,1901-03-02,Joy
Ian,1918-12-01,William,1919-06-28,Ryan,1912-02-14,Ian was born on the day the Kingdom of Iceland was formed. William was born on the day The Treaty of Versailles redrew European borders. Ryan was born on the day Arizona became a U.S. state. The oldest is,1912-02-14,Ryan
Fred,1905-12-05,Alice,1916-04-30,Leon,1919-04-13,Fred was born on the day Henry Campbell-Bannerman became Prime Minister. Alice was born on the day the first nationwide daylight saving time implementation occurred. Leon was born on the day the Jallianwala Bagh massacre occurred. The oldest is,1905-12-05,Fred
Aaron,1908-10-05,Jason,1908-04-08,Josh,1917-11-26,Aaron was born on the day Bulgaria declared independence. Jason was born on the day H. H. Asquith became Prime Minister. Josh was born on the day the National Hockey League was formed. The oldest is,1908-04-08,Jason
Andrew,1916-01-09,Richard,1916-06-10,Michael,1910-10-05,Andrew was born on the day the Allied forces at Gallipoli withdrew due to heavy casualties. Richard was born on the day the Arab Revolt began. Michael was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,Michael
George,1919-04-13,Ian,1918-12-01,Steve,1919-11-19,George was born on the day the Jallianwala Bagh massacre occurred. Ian was born on the day the Kingdom of Iceland was formed. Steve was born on the day Feline Follies was released. The oldest is,1918-12-01,Ian
Charlie,1914-08-15,April,1919-04-11,Ryan,1912-02-14,Charlie was born on the day the Panama Canal opened. April was born on the day the International Labour Organization was established. Ryan was born on the day Arizona became a U.S. state. The oldest is,1912-02-14,Ryan
Rachel,1907-07-24,Marco,1912-02-12,Richard,1916-06-10,Rachel was born on the day the Japan–Korea Treaty was signed. Marco was born on the day the Chinese Empire ended and the Republic of China was established. Richard was born on the day the Arab Revolt began. The oldest is,1907-07-24,Rachel
Mark,1903-08-04,Luke,1919-08-11,Grant,1919-01-21,Mark was born on the day Pius X became Pope. Luke was born on the day the German Revolution ended. Grant was born on the day the First Red Scare began and the Irish War of Independence started. The oldest is,1903-08-04,Mark
Aaron,1901-12-10,April,1919-04-11,Leon,1919-04-13,Aaron was born on the day the first Nobel Prize awards took place. April was born on the day the International Labour Organization was established. Leon was born on the day the Jallianwala Bagh massacre occurred. The oldest is,1901-12-10,Aaron
Aaron,1910-05-31,William,1919-08-11,Hope,1911-09-29,Aaron was born on the day the Union of South Africa was created. William was born on the day the German Revolution ended. Hope was born on the day the Italo-Turkish war began. The oldest is,1910-05-31,Aaron
Charlie,1914-08-15,Dallas,1901-12-12,Josh,1917-11-26,Charlie was born on the day the Panama Canal opened. Dallas was born on the day Guglielmo Marconi received the first transatlantic radio signal. Josh was born on the day the National Hockey League was formed. The oldest is,1901-12-12,Dallas
Dean,1919-04-11,Bob,1912-02-14,Charlie,1914-08-15,Dean was born on the day the International Labour Organization was established. Bob was born on the day Arizona became a U.S. state. Charlie was born on the day the Panama Canal opened. The oldest is,1912-02-14,Bob
Neil,1907-07-24,Steve,1919-11-19,Connor,1916-12-30,Neil was born on the day the Japan–Korea Treaty was signed. Steve was born on the day Feline Follies was released. Connor was born on the day Grigori Rasputin was assassinated. The oldest is,1907-07-24,Neil
William,1918-11-09,Connor,1909-04-06,Luke,1905-03-31,William was born on the day Wilhelm II abdicated. Connor was born on the day Robert Peary claimed to reach the North Pole. Luke was born on the day the First Moroccan Crisis began. The oldest is,1905-03-31,Luke
Marco,1912-02-12,Richard,1918-05-28,Connor,1916-12-30,Marco was born on the day the Chinese Empire ended and the Republic of China was established. Richard was born on the day Azerbaijan Democratic Republic was declared. Connor was born on the day Grigori Rasputin was assassinated. The oldest is,1912-02-12,Marco
Rachel,1901-03-02,William,1919-08-11,Josh,1919-02-14,Rachel was born on the day The Platt Amendment provided for Cuban independence. William was born on the day the German Revolution ended. Josh was born on the day the Polish-Soviet War began. The oldest is,1901-03-02,Rachel
Jack,1905-03-31,Grant,1917-11-26,Ian,1918-12-01,Jack was born on the day the First Moroccan Crisis began. Grant was born on the day the National Hockey League was formed. Ian was born on the day the Kingdom of Iceland was formed. The oldest is,1905-03-31,Jack
William,1910-10-05,Tyler,1903-07-01,Fred,1905-12-05,William was born on the day the First Portuguese Republic was proclaimed. Tyler was born on the day the first Tour de France was held. Fred was born on the day Henry Campbell-Bannerman became Prime Minister. The oldest is,1903-07-01,Tyler
George,1917-04-06,Bob,1903-12-17,William,1919-06-28,George was born on the day the USA joined the Entente. Bob was born on the day the Wright brothers made their first successful flight. William was born on the day The Treaty of Versailles redrew European borders. The oldest is,1903-12-17,Bob
Frank,1918-07-04,George,1917-04-06,Neil,1917-06-04,Frank was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. George was born on the day the USA joined the Entente. Neil was born on the day the first Pulitzer Prizes were announced. The oldest is,1917-04-06,George
Richard,1903-11-18,Frank,1918-07-04,Jerry,1909-07-16,Richard was born on the day the independence of Panama from the Hay–Bunau-Varilla Treaty was signed. Frank was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. Jerry was born on the day Mohammad Ali Shah Qajar was forced to abdicate. The oldest is,1903-11-18,Richard
Michael,1910-10-05,Charlie,1914-08-15,Jerry,1918-12-01,Michael was born on the day the First Portuguese Republic was proclaimed. Charlie was born on the day the Panama Canal opened. Jerry was born on the day the Kingdom of Iceland was formed. The oldest is,1910-10-05,Michael
Steve,1919-06-28,William,1911-03-25,Kyle,1905-03-31,Steve was born on the day The Treaty of Versailles redrew European borders. William was born on the day the Triangle Shirtwaist Factory fire resulted in 146 worker deaths. Kyle was born on the day the First Moroccan Crisis began. The oldest is,1905-03-31,Kyle
Rachel,1913-05-30,Andrew,1916-01-09,Jerry,1909-07-16,Rachel was born on the day the Treaty of London was signed. Andrew was born on the day the Allied forces at Gallipoli withdrew due to heavy casualties. Jerry was born on the day Mohammad Ali Shah Qajar was forced to abdicate. The oldest is,1909-07-16,Jerry
Steve,1919-06-28,William,1911-03-25,Andrew,1902-05-31,Steve was born on the day The Treaty of Versailles redrew European borders. William was born on the day the Triangle Shirtwaist Factory fire resulted in 146 worker deaths. Andrew was born on the day the Second Boer War ended. The oldest is,1902-05-31,Andrew
Andrew,1907-07-24,Jason,1908-04-08,Marco,1912-02-12,Andrew was born on the day the Japan–Korea Treaty was signed. Jason was born on the day H. H. Asquith became Prime Minister. Marco was born on the day the Chinese Empire ended and the Republic of China was established. The oldest is,1907-07-24,Andrew
Andrew,1910-05-31,Scott,1914-08-15,Emily,1918-03-11,Andrew was born on the day the Union of South Africa was created. Scott was born on the day the Panama Canal opened. Emily was born on the day the Spanish flu pandemic began. The oldest is,1910-05-31,Andrew
Rose,1919-04-11,George,1917-04-06,Alex,1917-11-26,Rose was born on the day the International Labour Organization was established. George was born on the day the USA joined the Entente. Alex was born on the day the National Hockey League was formed. The oldest is,1917-04-06,George
Jack,1905-03-31,William,1918-03-30,Max,1909-04-06,Jack was born on the day the First Moroccan Crisis began. William was born on the day the Armenian-Azerbaijani War began. Max was born on the day Robert Peary claimed to reach the North Pole. The oldest is,1905-03-31,Jack
Brandon,1906-04-18,Richard,1918-05-28,Alice,1905-12-05,Brandon was born on the day an earthquake with a magnitude of 7.9 occurred in San Francisco. Richard was born on the day Azerbaijan Democratic Republic was declared. Alice was born on the day Henry Campbell-Bannerman became Prime Minister. The oldest is,1905-12-05,Alice
Maria,1916-12-06,Luke,1901-01-22,Alex,1907-07-24,Maria was born on the day David Lloyd George became Prime Minister. Luke was born on the day Edward VII became King of England and India. Alex was born on the day the Japan–Korea Treaty was signed. The oldest is,1901-01-22,Luke
Matt,1915-07-28,Fred,1917-03-08,Neil,1918-07-04,Matt was born on the day the United States occupation of Haiti began. Fred was born on the day the Russian Revolution ended and the Russian Civil War began. Neil was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. The oldest is,1915-07-28,Matt
Luke,1903-08-04,Rachel,1915-07-28,William,1919-06-28,Luke was born on the day Pius X became Pope. Rachel was born on the day the United States occupation of Haiti began. William was born on the day The Treaty of Versailles redrew European borders. The oldest is,1903-08-04,Luke
Charlie,1917-11-26,Jerry,1918-12-01,Connor,1919-04-13,Charlie was born on the day the National Hockey League was formed. Jerry was born on the day the Kingdom of Iceland was formed. Connor was born on the day the Jallianwala Bagh massacre occurred. The oldest is,1917-11-26,Charlie
Charlie,1918-07-04,Ian,1908-10-01,Rachel,1915-07-28,Charlie was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. Ian was born on the day the Ford Motor Company invented the Model T. Rachel was born on the day the United States occupation of Haiti began. The oldest is,1908-10-01,Ian
Connor,1909-04-13,Andrew,1905-12-05,Rose,1908-12-02,Connor was born on the day a countercoup failed in the Ottoman Empire. Andrew was born on the day Henry Campbell-Bannerman became Prime Minister. Rose was born on the day Puyi became the last Emperor of China. The oldest is,1905-12-05,Andrew
Laura,1919-08-11,Leon,1908-07-26,Robert,1902-07-17,Laura was born on the day the German Revolution ended. Leon was born on the day the Bureau of Investigation was founded. Robert was born on the day Willis Carrier invented the first modern electrical air conditioning unit. The oldest is,1902-07-17,Robert
Robert,1917-06-04,Andrew,1902-05-31,Connor,1909-04-13,Robert was born on the day the first Pulitzer Prizes were announced. Andrew was born on the day the Second Boer War ended. Connor was born on the day a countercoup failed in the Ottoman Empire. The oldest is,1902-05-31,Andrew
Grant,1919-01-21,Connor,1919-04-13,Alex,1908-07-26,Grant was born on the day the First Red Scare began and the Irish War of Independence started. Connor was born on the day the Jallianwala Bagh massacre occurred. Alex was born on the day the Bureau of Investigation was founded. The oldest is,1908-07-26,Alex
Josh,1919-02-14,April,1919-04-11,Charlie,1914-08-15,Josh was born on the day the Polish-Soviet War began. April was born on the day the International Labour Organization was established. Charlie was born on the day the Panama Canal opened. The oldest is,1914-08-15,Charlie
Rachel,1913-05-30,George,1917-04-06,Mark,1905-09-26,Rachel was born on the day the Treaty of London was signed. George was born on the day the USA joined the Entente. Mark was born on the day Albert Einstein formulated special relativity. The oldest is,1905-09-26,Mark
Leon,1908-07-26,Max,1909-04-06,Ryan,1909-03-10,Leon was born on the day the Bureau of Investigation was founded. Max was born on the day Robert Peary claimed to reach the North Pole. Ryan was born on the day the Anglo-Siamese Treaty of 1909 was signed. The oldest is,1908-07-26,Leon
Robert,1917-06-04,Mark,1919-05-19,Rose,1905-10-16,Robert was born on the day the first Pulitzer Prizes were announced. Mark was born on the day the Turkish War of Independence began. Rose was born on the day Bengal was partitioned. The oldest is,1905-10-16,Rose
Brandon,1919-01-21,Aaron,1908-10-05,Grant,1917-03-08,Brandon was born on the day the First Red Scare began and the Irish War of Independence started. Aaron was born on the day Bulgaria declared independence. Grant was born on the day the Russian Revolution ended and the Russian Civil War began. The oldest is,1908-10-05,Aaron
Laura,1905-12-05,Ryan,1912-02-14,Rachel,1913-05-30,Laura was born on the day Henry Campbell-Bannerman became Prime Minister. Ryan was born on the day Arizona became a U.S. state. Rachel was born on the day the Treaty of London was signed. The oldest is,1905-12-05,Laura
Jack,1913-01-23,Bob,1912-02-14,William,1911-03-25,Jack was born on the day Ismail Enver came to power. Bob was born on the day Arizona became a U.S. state. William was born on the day the Triangle Shirtwaist Factory fire resulted in 146 worker deaths. The oldest is,1911-03-25,William
Jack,1902-07-17,Charlie,1917-11-26,Tyler,1903-07-01,Jack was born on the day Willis Carrier invented the first modern electrical air conditioning unit. Charlie was born on the day the National Hockey League was formed. Tyler was born on the day the first Tour de France was held. The oldest is,1902-07-17,Jack
Dallas,1901-12-12,Mark,1916-03-07,Hope,1911-09-29,Dallas was born on the day Guglielmo Marconi received the first transatlantic radio signal. Mark was born on the day Bayerische Flugzeugwerke was founded. Hope was born on the day the Italo-Turkish war began. The oldest is,1901-12-12,Dallas
Hope,1911-09-29,Rose,1905-10-16,Rachel,1919-07-18,Hope was born on the day the Italo-Turkish war began. Rose was born on the day Bengal was partitioned. Rachel was born on the day the Polish-Ukrainian War ended. The oldest is,1905-10-16,Rose
Connor,1916-12-30,Bob,1912-02-14,Michael,1910-10-05,Connor was born on the day Grigori Rasputin was assassinated. Bob was born on the day Arizona became a U.S. state. Michael was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,Michael
Andrew,1912-04-15,George,1919-04-13,April,1918-12-01,Andrew was born on the day the RMS Titanic sank. George was born on the day the Jallianwala Bagh massacre occurred. April was born on the day the Kingdom of Iceland was formed. The oldest is,1912-04-15,Andrew
William,1919-08-11,Ian,1918-12-01,Rachel,1907-07-24,William was born on the day the German Revolution ended. Ian was born on the day the Kingdom of Iceland was formed. Rachel was born on the day the Japan–Korea Treaty was signed. The oldest is,1907-07-24,Rachel
Jerry,1918-12-01,Jack,1913-01-23,Leon,1908-07-26,Jerry was born on the day the Kingdom of Iceland was formed. Jack was born on the day Ismail Enver came to power. Leon was born on the day the Bureau of Investigation was founded. The oldest is,1908-07-26,Leon
George,1917-04-06,Charlie,1918-07-04,Connor,1909-04-13,George was born on the day the USA joined the Entente. Charlie was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. Connor was born on the day a countercoup failed in the Ottoman Empire. The oldest is,1909-04-13,Connor
Laura,1905-12-05,Aaron,1910-05-31,Matt,1915-07-28,Laura was born on the day Henry Campbell-Bannerman became Prime Minister. Aaron was born on the day the Union of South Africa was created. Matt was born on the day the United States occupation of Haiti began. The oldest is,1905-12-05,Laura
Connor,1919-04-13,Aaron,1908-10-05,Luke,1901-01-22,Connor was born on the day the Jallianwala Bagh massacre occurred. Aaron was born on the day Bulgaria declared independence. Luke was born on the day Edward VII became King of England and India. The oldest is,1901-01-22,Luke
Aaron,1910-05-31,Max,1908-12-02,Mark,1919-05-19,Aaron was born on the day the Union of South Africa was created. Max was born on the day Puyi became the last Emperor of China. Mark was born on the day the Turkish War of Independence began. The oldest is,1908-12-02,Max
Connor,1916-12-30,Jason,1908-04-08,Marco,1916-04-30,Connor was born on the day Grigori Rasputin was assassinated. Jason was born on the day H. H. Asquith became Prime Minister. Marco was born on the day the first nationwide daylight saving time implementation occurred. The oldest is,1908-04-08,Jason
Joy,1901-03-02,Dallas,1901-12-12,Grant,1919-01-21,Joy was born on the day The Platt Amendment provided for Cuban independence. Dallas was born on the day Guglielmo Marconi received the first transatlantic radio signal. Grant was born on the day the First Red Scare began and the Irish War of Independence started. The oldest is,1901-03-02,Joy
Mark,1919-05-19,Rachel,1913-05-30,Aaron,1908-10-05,Mark was born on the day the Turkish War of Independence began. Rachel was born on the day the Treaty of London was signed. Aaron was born on the day Bulgaria declared independence. The oldest is,1908-10-05,Aaron
Neil,1917-06-04,Jerry,1909-07-16,Josh,1919-02-14,Neil was born on the day the first Pulitzer Prizes were announced. Jerry was born on the day Mohammad Ali Shah Qajar was forced to abdicate. Josh was born on the day the Polish-Soviet War began. The oldest is,1909-07-16,Jerry
Kyle,1905-03-31,Richard,1903-11-18,Rose,1908-12-02,Kyle was born on the day the First Moroccan Crisis began. Richard was born on the day the independence of Panama from the Hay–Bunau-Varilla Treaty was signed. Rose was born on the day Puyi became the last Emperor of China. The oldest is,1903-11-18,Richard
Luke,1902-05-31,Charlie,1914-08-15,Matt,1919-08-11,Luke was born on the day the Second Boer War ended. Charlie was born on the day the Panama Canal opened. Matt was born on the day the German Revolution ended. The oldest is,1902-05-31,Luke
George,1917-04-06,Grant,1919-01-21,Marco,1912-02-12,George was born on the day the USA joined the Entente. Grant was born on the day the First Red Scare began and the Irish War of Independence started. Marco was born on the day the Chinese Empire ended and the Republic of China was established. The oldest is,1912-02-12,Marco
Brandon,1906-04-18,Ian,1908-10-01,Jack,1913-01-23,Brandon was born on the day an earthquake with a magnitude of 7.9 occurred in San Francisco. Ian was born on the day the Ford Motor Company invented the Model T. Jack was born on the day Ismail Enver came to power. The oldest is,1906-04-18,Brandon
Rachel,1919-07-18,Fred,1910-08-28,Grant,1913-12-23,Rachel was born on the day the Polish-Ukrainian War ended. Fred was born on the day the Kingdom of Montenegro declared its independence. Grant was born on the day the Federal Reserve System was created. The oldest is,1910-08-28,Fred
William,1918-03-30,Charlie,1914-08-15,Grant,1913-12-23,William was born on the day the Armenian-Azerbaijani War began. Charlie was born on the day the Panama Canal opened. Grant was born on the day the Federal Reserve System was created. The oldest is,1913-12-23,Grant
Grant,1917-03-08,Hope,1911-09-29,Luke,1905-03-31,Grant was born on the day the Russian Revolution ended and the Russian Civil War began. Hope was born on the day the Italo-Turkish war began. Luke was born on the day the First Moroccan Crisis began. The oldest is,1905-03-31,Luke
William,1910-10-05,Tyler,1919-02-14,Alex,1907-07-24,William was born on the day the First Portuguese Republic was proclaimed. Tyler was born on the day the Polish-Soviet War began. Alex was born on the day the Japan–Korea Treaty was signed. The oldest is,1907-07-24,Alex
William,1918-11-09,Rachel,1901-03-02,Connor,1909-04-06,William was born on the day Wilhelm II abdicated. Rachel was born on the day The Platt Amendment provided for Cuban independence. Connor was born on the day Robert Peary claimed to reach the North Pole. The oldest is,1901-03-02,Rachel
Ryan,1909-03-10,Richard,1916-06-10,Alex,1917-11-26,Ryan was born on the day the Anglo-Siamese Treaty of 1909 was signed. Richard was born on the day the Arab Revolt began. Alex was born on the day the National Hockey League was formed. The oldest is,1909-03-10,Ryan
Grant,1919-01-21,Richard,1918-05-28,Charlie,1903-07-01,Grant was born on the day the First Red Scare began and the Irish War of Independence started. Richard was born on the day Azerbaijan Democratic Republic was declared. Charlie was born on the day the first Tour de France was held. The oldest is,1903-07-01,Charlie
Alex,1907-07-24,Joy,1901-03-02,Tyler,1903-07-01,Alex was born on the day the Japan–Korea Treaty was signed. Joy was born on the day The Platt Amendment provided for Cuban independence. Tyler was born on the day the first Tour de France was held. The oldest is,1901-03-02,Joy
Josh,1919-02-14,Blake,1916-12-30,Tyler,1903-07-01,Josh was born on the day the Polish-Soviet War began. Blake was born on the day Grigori Rasputin was assassinated. Tyler was born on the day the first Tour de France was held. The oldest is,1903-07-01,Tyler
Frank,1918-07-04,Michael,1908-10-05,Jack,1905-03-31,Frank was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. Michael was born on the day Bulgaria declared independence. Jack was born on the day the First Moroccan Crisis began. The oldest is,1905-03-31,Jack
Andrew,1905-12-05,Mark,1919-05-19,Rachel,1915-07-28,Andrew was born on the day Henry Campbell-Bannerman became Prime Minister. Mark was born on the day the Turkish War of Independence began. Rachel was born on the day the United States occupation of Haiti began. The oldest is,1905-12-05,Andrew
Matt,1919-04-11,Luke,1901-01-22,Hope,1911-09-29,Matt was born on the day the International Labour Organization was established. Luke was born on the day Edward VII became King of England and India. Hope was born on the day the Italo-Turkish war began. The oldest is,1901-01-22,Luke
Joy,1913-01-23,Charlie,1917-11-26,Michael,1916-12-06,Joy was born on the day Ismail Enver came to power. Charlie was born on the day the National Hockey League was formed. Michael was born on the day David Lloyd George became Prime Minister. The oldest is,1913-01-23,Joy
Alice,1905-12-05,Rose,1908-12-02,Luke,1919-08-11,Alice was born on the day Henry Campbell-Bannerman became Prime Minister. Rose was born on the day Puyi became the last Emperor of China. Luke was born on the day the German Revolution ended. The oldest is,1905-12-05,Alice
Rachel,1913-05-30,Ryan,1909-03-10,Joy,1901-03-02,Rachel was born on the day the Treaty of London was signed. Ryan was born on the day the Anglo-Siamese Treaty of 1909 was signed. Joy was born on the day The Platt Amendment provided for Cuban independence. The oldest is,1901-03-02,Joy
Andrew,1916-01-09,William,1918-03-30,Michael,1910-10-05,Andrew was born on the day the Allied forces at Gallipoli withdrew due to heavy casualties. William was born on the day the Armenian-Azerbaijani War began. Michael was born on the day the First Portuguese Republic was proclaimed. The oldest is,1910-10-05,Michael
Frank,1912-03-30,Jerry,1912-02-12,Andrew,1902-05-31,Frank was born on the day Morocco became a protectorate of France. Jerry was born on the day the Chinese Empire ended and the Republic of China was established. Andrew was born on the day the Second Boer War ended. The oldest is,1902-05-31,Andrew
Ryan,1912-02-14,Laura,1905-12-05,Neil,1918-07-04,Ryan was born on the day Arizona became a U.S. state. Laura was born on the day Henry Campbell-Bannerman became Prime Minister. Neil was born on the day Mehmed VI became the last Sultan of the Ottoman Empire. The oldest is,1905-12-05,Laura
Rachel,1919-07-18,Jason,1908-04-08,Neil,1917-06-04,Rachel was born on the day the Polish-Ukrainian War ended. Jason was born on the day H. H. Asquith became Prime Minister. Neil was born on the day the first Pulitzer Prizes were announced. The oldest is,1908-04-08,Jason
William,1911-03-25,Connor,1909-04-06,Laura,1919-08-11,William was born on the day the Triangle Shirtwaist Factory fire resulted in 146 worker deaths. Connor was born on the day Robert Peary claimed to reach the North Pole. Laura was born on the day the German Revolution ended. The oldest is,1909-04-06,Connor
John,1912-03-30,Brandon,1919-01-21,Matt,1919-04-11,John was born on the day Morocco became a protectorate of France. Brandon was born on the day the First Red Scare began and the Irish War of Independence started. Matt was born on the day the International Labour Organization was established. The oldest is,1912-03-30,John
